"Mellomværendekontroll for Conta";"KUN SYNTETISKE DATA"
"Datastatus";"COMPLETE"
"Saldostatus";"DIFFERENCE"
"Selskap A";"Eksempel Fjord AS (syntetisk)";"900001"
"Selskap B";"Eksempel Ås AS (syntetisk)";"900002"
"Fra";"2026-08-01";"Til";"2026-08-31"
"Toleranse NOK";"0.01"
"Side";"Konto";"Inngående NOK";"Bevegelse NOK";"Utgående NOK"
"A";"1560";"100000.00";"150000.00";"250000.00"
"B";"2960";"'-85000.00";"'-140000.00";"'-225000.00"
"Restsaldo A + B";"";"15000.00";"10000.00";"25000.00"
"Saldoenighet er ikke ferdig avstemming. Kandidater og uavklarte linjer krever regnskapsførers vurdering."

"Side";"Konto";"Kildelinje-ID";"Transaksjons-ID";"Bilagsnummer";"Dato";"Beløp NOK";"Fakturareferanse";"Korreksjon/reversering";"Beskrivelse";"Vurdering"
"A";"1560";"1000";"10000";"1-2026";"2026-08-01";"15000.00";"DEMO-1";"Nei";"Syntetisk mellomværende 1";"Kandidat – krever vurdering"
"A";"1560";"1001";"10001";"2-2026";"2026-08-02";"15000.00";"DEMO-2";"Nei";"Syntetisk mellomværende 2";"Kandidat – krever vurdering"
"A";"1560";"1002";"10002";"3-2026";"2026-08-03";"15000.00";"DEMO-3";"Nei";"Syntetisk mellomværende 3";"Kandidat – krever vurdering"
"A";"1560";"1003";"10003";"4-2026";"2026-08-04";"15000.00";"DEMO-4";"Nei";"Syntetisk mellomværende 4";"Kandidat – krever vurdering"
"A";"1560";"1004";"10004";"5-2026";"2026-08-05";"15000.00";"DEMO-5";"Nei";"Syntetisk mellomværende 5";"Kandidat – krever vurdering"
"A";"1560";"1005";"10005";"6-2026";"2026-08-06";"15000.00";"DEMO-6";"Nei";"Syntetisk mellomværende 6";"Kandidat – krever vurdering"
"A";"1560";"1006";"10006";"7-2026";"2026-08-07";"15000.00";"DEMO-7";"Nei";"Syntetisk mellomværende 7";"Kandidat – krever vurdering"
"A";"1560";"1007";"10007";"8-2026";"2026-08-08";"15000.00";"DEMO-8";"Nei";"Syntetisk mellomværende 8";"Kandidat – krever vurdering"
"A";"1560";"1008";"10008";"9-2026";"2026-08-09";"15000.00";"DEMO-9";"Nei";"Syntetisk mellomværende 9";"Kandidat – krever vurdering"
"A";"1560";"1009";"10009";"10-2026";"2026-08-31";"15000.00";"A-ONLY";"Nei";"Syntetisk mellomværende 10";"Ingen linje med samme fakturareferanse hos motparten."
"B";"2960";"2000";"20000";"1-2026";"2026-08-01";"'-15000.00";"DEMO-1";"Nei";"Syntetisk mellomværende 1";"Kandidat – krever vurdering"
"B";"2960";"2001";"20001";"2-2026";"2026-08-02";"'-15000.00";"DEMO-2";"Nei";"Syntetisk mellomværende 2";"Kandidat – krever vurdering"
"B";"2960";"2002";"20002";"3-2026";"2026-08-03";"'-15000.00";"DEMO-3";"Nei";"Syntetisk mellomværende 3";"Kandidat – krever vurdering"
"B";"2960";"2003";"20003";"4-2026";"2026-08-04";"'-15000.00";"DEMO-4";"Nei";"Syntetisk mellomværende 4";"Kandidat – krever vurdering"
"B";"2960";"2004";"20004";"5-2026";"2026-08-05";"'-15000.00";"DEMO-5";"Nei";"Syntetisk mellomværende 5";"Kandidat – krever vurdering"
"B";"2960";"2005";"20005";"6-2026";"2026-08-06";"'-15000.00";"DEMO-6";"Nei";"Syntetisk mellomværende 6";"Kandidat – krever vurdering"
"B";"2960";"2006";"20006";"7-2026";"2026-08-07";"'-15000.00";"DEMO-7";"Nei";"Syntetisk mellomværende 7";"Kandidat – krever vurdering"
"B";"2960";"2007";"20007";"8-2026";"2026-08-08";"'-15000.00";"DEMO-8";"Nei";"Syntetisk mellomværende 8";"Kandidat – krever vurdering"
"B";"2960";"2008";"20008";"9-2026";"2026-08-09";"'-15000.00";"DEMO-9";"Nei";"Syntetisk mellomværende 9";"Kandidat – krever vurdering"
"B";"2960";"2009";"20009";"10-2026";"2026-08-31";"'-5000.00";"B-ONLY";"Nei";"Syntetisk mellomværende 10";"Ingen linje med samme fakturareferanse hos motparten."

"Kilde";"URL";"Hentet";"HTTP"
"A:accounts";"https://api.gateway.conta-sandbox.no/accounting/organizations/900001/bookkeeping-accounts?hits=0&page=0";"2026-09-16T11:59:40.000Z";"200"
"A:before";"https://api.gateway.conta-sandbox.no/accounting/organizations/900001/reports/trial-balance?startDate=2026-08-01&endDate=2026-08-31";"2026-09-16T11:59:41.000Z";"200"
"B:accounts";"https://api.gateway.conta-sandbox.no/accounting/organizations/900002/bookkeeping-accounts?hits=0&page=0";"2026-09-16T11:59:42.000Z";"200"
"B:before";"https://api.gateway.conta-sandbox.no/accounting/organizations/900002/reports/trial-balance?startDate=2026-08-01&endDate=2026-08-31";"2026-09-16T11:59:43.000Z";"200"
"A:details:1560";"https://api.gateway.conta-sandbox.no/accounting/organizations/900001/reports/trial-balance/details?startDate=2026-08-01&endDate=2026-08-31&bookkeepingAccountNo=1560";"2026-09-16T11:59:44.000Z";"200"
"B:details:2960";"https://api.gateway.conta-sandbox.no/accounting/organizations/900002/reports/trial-balance/details?startDate=2026-08-01&endDate=2026-08-31&bookkeepingAccountNo=2960";"2026-09-16T11:59:45.000Z";"200"
"A:after";"https://api.gateway.conta-sandbox.no/accounting/organizations/900001/reports/trial-balance?startDate=2026-08-01&endDate=2026-08-31";"2026-09-16T11:59:46.000Z";"200"
"B:after";"https://api.gateway.conta-sandbox.no/accounting/organizations/900002/reports/trial-balance?startDate=2026-08-01&endDate=2026-08-31";"2026-09-16T11:59:47.000Z";"200"
